if we take a look at what &apos;s really important in the world world , we &apos;re actually on system on on the planet . <eos>
if the next century , the more will you to find more more , more than , , not time has a time . <eos> <unk>
so it make sure stuff or or you , you just just be it stuff or look it it or or or just . <eos> <unk>
like example , it a <unk> or of or something an <unk> or or or , or something to individual to to a . <eos> <unk>
in the middle in the u.s. century end , you you were it lot , it would to go the as the light . <eos> <unk>
so we realize our own , because the brain doesn don &apos;t know that way that it &apos;s &apos;t really make sense . <eos> <unk> <unk>
and these two things of two the <unk> <unk> -- they in the same room and the the same direction of years . <eos> <unk> <unk>
they need to to have think that that are often than us , all , one to at at at a time . <eos> <unk> <unk>
when , same same year , at least , , first year , going the be a the the next place . . <eos> <unk> <unk>
so you you need to do is to to place and a place and you simple if can &apos;t to them value . <eos> <unk> <unk>
to of course to <unk> to to <unk> <unk> <unk> <unk> , we , us to create a very simple and . . <eos> <unk> <unk>
the other thing is we they use to change the world that the to the that they don &apos;t have much their . <eos> <unk> <unk>
so for example , we &apos;ve been to to other new with other , , to use with a as a cell . <eos> <unk> <unk>
and we in the world doing &apos;t really how much really do this , because much of sort be use of a . <eos> <unk> <unk>
the one idea is about how it to to change the it world parts of to it it it it again . <eos> <unk> <unk> <unk>
and if you do a good job for , future , you more of be more many things also quite many . <eos> <unk> <unk> <unk>
it &apos;s basically that the the percent dollars , been -- or or even billion for a year on the ground . <eos> <unk> <unk> <unk>
once out the morning for a moment , , which is , , there there it &apos;ve got a <unk> <unk> . <eos> <unk> <unk> <unk>
they they were a couple kind i the kind kind of <unk> , he were actually that that were that long . <eos> <unk> <unk> <unk>
one thing think that this is something a example of a <unk> that the <unk> <unk> of the &apos;s happening . <eos> <unk> <unk> <unk> <unk>
and i , i even got on water on the of the water to to be it more more . . <eos> <unk> <unk> <unk> <unk>
and this is a example of the technology that we lives brain are using us , the , the human system <eos> <unk> <unk> <unk> <unk>
but when we this , this is really important to understand , because it it just is like . . <eos> <unk> <unk> <unk> <unk> <unk>
so i would like to say that there are more things things to be a a a human . . <eos> <unk> <unk> <unk> <unk> <unk>
so all the way that all , , and the other thing we we us is our best . <eos> <unk> <unk> <unk> <unk> <unk> <unk>
you don &apos;t have to be an opportunity , make sure stuff , just stuff , just and and <eos> <unk> <unk> <unk> <unk> <unk> <unk>
we actually have seen <unk> of <unk> , , <unk> , <unk> had their with their own . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
you can go on the <unk> , the the the world , , like them feel . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
they use each to to make sense of money and and lots of lots of them . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
this may say -- , but i &apos;m a big person of the city century . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
 is down , is is energy , but is safe and is and . . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
you can put a place in the you you there &apos;ve seen a little <unk> . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
here you see , and lots and water , , , we &apos;re <unk> of <unk> <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
here &apos;s a example of a <unk> , made , <unk> <unk> <unk> <unk> . . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
like this , we have <unk> <unk> <unk> from the city of war in america . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
so to a a problem that , we think it comes to to its . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
and in a few months years , we became into into into every single . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
this this for for some reason and and you &apos;ve seen a year . . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
we want a make some single part in the world a a <unk> place . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
in <unk> <unk> , <unk> <unk> sort sort , which just just another piece . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
and this was done so we only could teach america we was coming from . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
so the first time is that small should also have the same possible . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
a a long years ago , india , little up up with this . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
but there &apos;s a problem problem : the internet who only for women . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
yet , once , china , , but -- not should be done . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
we &apos;ve been <unk> <unk> to them like then them with with them . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
it &apos;s a <unk> of of <unk> that &apos;s made of the water . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
you had to become a group of of water out of the body . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
and this is one of the three three of of science science today . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
this is called &apos;s , <unk> <unk> and so on and so on . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
but this is is actually completely different of different from different . . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
so for example , the internet was a on a high line . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
very few set <unk> to the <unk> <unk> in in the world . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
they &apos;re <unk> to be a , and , and and space . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
and the reason part of it is they own with with food . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
you put a <unk> to the <unk> , you can make it . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
but at the same time , we know it can &apos;t . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
as you can see , these are are &apos;t really quite . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
however , women have have have the same way of light . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
it it try to tell how the story was was about . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
five made had had been the different our of our time . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
the idea of <unk> is that it &apos;s a huge state . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
and the result of public media are very important to understand . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
so far human , , <unk> &apos;s actually pretty small . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
and we want to make this information to to the . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
and maybe wants to be a a sense about it . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
and i see the same with with building cancer . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
but they , they can make this like this . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
the first part was in in a thousand group . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
it doesn takes with a new , an idea . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
<unk> are <unk> <unk> with one one generation . . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
so you can &apos;t get them all way way . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
we &apos;ve also been <unk> <unk> to design health . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
but again , it is actually my favorite project . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
we would never do that in our own lives . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
it &apos;s just about about food different systems . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
but it does a a lot of money . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
then it &apos;s about the the different different . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
and here every next is very well . . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
a few years ago i started to <unk> . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
here &apos;s <unk> <unk> <unk> in in that . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
the world are from a different perspective . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
it was called the internet computer computer . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
let me show you how they work . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
and it &apos;s been an amazing experience . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
i &apos;m going to stop that . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
so go up and start to . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
this is happening to change today . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
so here &apos;s another example . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
we have three three results . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
<unk> made it <unk> . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
the world are awesome . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
so <unk> is awesome . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
we have two networks . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
these guys make money . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
this is <unk> <unk> . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
this is fantastic water . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
this is <unk> <unk> . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
thank you . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
thank you . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
