we trust them with our personal and and and will you come there . . <eos>
a new station , produce store , and a couple who brand . . . <eos>
very simple sweet and sour sauce a of flavor good for it for good . <eos>
a is a must try if you live in scottsdale - they also deliver ! <eos>
every item we tried was perfectly with , with with an and hot hot . <eos>
my boyfriend and i visited this past location after a a movie at . . <eos>
their hummus with veggies is very very good size for all as well . <eos> the
staff so friendly and professional and it 's always such like family office ! <eos> the
by is a most personable stylist and is very accommodating of our restaurant . <eos> the
i would recommend her 's will 's to friends the the scottsdale area . <eos> the
quality not like , & & he 's has some good food food . <eos> the
this is one of the best chinese food restaurants in all of phoenix . <eos> the
we had an lovely evening , yet never made sure we were happy . <eos> the
and you get nice atmosphere and lovely wait while you will there it . <eos> the
the decor is very neat and clean , and the food is phenomenal ! <eos> the
surprisingly cuisine should have a little more than , but it was good . <eos> the
mike & b has become a class of of our dining dining game . <eos> the
today and staff have been very professional , informative , and friendly . <eos> the the
the place is spacious , clean and the staff was very friendly . <eos> the the
my family has eaten here a few times for dinner as well . <eos> the the
it was served as a first dish but fell enjoyed and enjoyed . <eos> the the
also also has some excellent choices to eat but well good everything . <eos> the the
the pork club was my my favorite but it was good . <eos> the the the
it 's worth worth the drive and i 'll definitely return ! <eos> the the the
the most important thing , of course , food the food . <eos> the the the
love the honey lo mein and the shrimp is is awesome ! <eos> the the the
the breakfast sandwiches are also delicious and not too expensive . <eos> the the the the
consistently great care , friendly staff could n't beat enough . <eos> the the the the
good prices , and a very comfortable , intimate atmosphere . <eos> the the the the
the hot and sour soup and both above and memorable . <eos> the the the the
the entire staff was friendly , prompt , and efficient . <eos> the the the the
and the and the staff are friendly and super courteous . <eos> the the the the
the staff are sweet sweet every time i go . <eos> the the the the the
for making the hot chocolate crisp i my life . <eos> the the the the the
their chicken ( $ _num_ ) - excellent sauce . <eos> the the the the the
food was really good , as was the service . <eos> the the the the the
best chinese i 've found in the scottsdale area ! <eos> the the the the the
we got lunch specials and left left very satisfied . <eos> the the the the the
their breakfast burritos and delicious and really filling . <eos> the the the the the the
will continue to stop by here in relax ! <eos> the the the the the the
great neighborhood chinese place ( check it out ! <eos> the the the the the the
everything tastes fresh and as you should be . <eos> the the the the the the
we love going there for the lunch buffet . <eos> the the the the the the
also , everyone was super friendly and nice ! <eos> the the the the the the
service is attentive , prompt , and pleasant . <eos> the the the the the the
beef 's seafood fry is the best appetizer ! <eos> the the the the the the
i have yet to find one better . <eos> the the the the the the the
bartenders are always pretty chill and friendly . <eos> the the the the the the the
the front desk staff is very helpful . <eos> the the the the the the the
the instructors are so caring and compassionate . <eos> the the the the the the the
front members is often there as well . <eos> the the the the the the the
the food was fresh and very flavorful . <eos> the the the the the the the
probably my favorite restaurant around the area . <eos> the the the the the the the
probably the best coffee they make . <eos> the the the the the the the the
it is so rich and creamy . <eos> the the the the the the the the
the service is decent as well . <eos> the the the the the the the the
thank you for a great coffee . <eos> the the the the the the the the
i love trader & son 's . <eos> the the the the the the the the
i highly recommend both of these . <eos> the the the the the the the the
the atmosphere is extremely nice inside . <eos> the the the the the the the the
my water water was always full . <eos> the the the the the the the the
we will definitely be back again ! <eos> the the the the the the the the
excellent knowledgeable dentist and staff ! <eos> the the the the the the the the the
very caring and friendly staff . <eos> the the the the the the the the the
good service and nice people . <eos> the the the the the the the the the
it 's worth the trip . <eos> the the the the the the the the the
we enjoyed the friendly service . <eos> the the the the the the the the the
best chinese food in scottsdale . <eos> the the the the the the the the the
the cost is the service . <eos> the the the the the the the the the
the price was very reasonable . <eos> the the the the the the the the the
i strongly of this place . <eos> the the the the the the the the the
love their food and service ! <eos> the the the the the the the the the
very nice traditional chinese cuisine . <eos> the the the the the the the the the
recommend the shrimp fried rice . <eos> the the the the the the the the the
best chinese food in arizona ! <eos> the the the the the the the the the
the honey chicken is delicious ! <eos> the the the the the the the the the
this place does it right . <eos> the the the the the the the the the
the salmon was prepared perfectly . <eos> the the the the the the the the the
their own is good . <eos> the the the the the the the the the the
highly recommend for anyone ! <eos> the the the the the the the the the the
the best in town ! <eos> the the the the the the the the the the
always friendly and fast . <eos> the the the the the the the the the the
i strongly recommend it . <eos> the the the the the the the the the the
i love the food . <eos> the the the the the the the the the the
i love the ambience . <eos> the the the the the the the the the the
i love the prices . <eos> the the the the the the the the the the
everything else was fantastic . <eos> the the the the the the the the the the
best chinese hands down ! <eos> the the the the the the the the the the
love this place . <eos> the the the the the the the the the the the
the sound taste good. <eos> the the the the the the the the the the the
good location . <eos> the the the the the the the the the the the the
nice atmosphere ! <eos> the the the the the the the the the the the the
_num_ % ! <eos> the the the the the the the the the the the the
friendly staff . <eos> the the the the the the the the the the the the
nice people . <eos> the the the the the the the the the the the the
highly recommended . <eos> the the the the the the the the the the the the
excellent food . <eos> the the the the the the the the the the the the
yum yum ! <eos> the the the the the the the the the the the the
wow ! <eos> the the the the the the the the the the the the the
yum ! <eos> the the the the the the the the the the the the the
