we trust them with our auto and cars to hope to come there always . <eos>
a gas station , gas store , and a treasure near into into . . <eos>
very interesting sweet and sour kind a of a kick to it but good . <eos>
this is a must try if you live in scottsdale - they also deliver ! <eos>
every item we tried was prepared perfectly , with with a and fantastic hot . <eos>
my girlfriend and i frequent this gem after after a a movie at ease . <eos>
their hummus is veggies is a very good portion for the as well . <eos> the
service so friendly and professional and it 's always truly like family office ! <eos> the
david is a most upbeat and and he very comfortable of his restaurant . <eos> the
i would recommend dr. and her to to friends the the phoenix area . <eos> the
quality not like , & or has 's has some good chinese food . <eos> the
this is one of the best chinese food places in all of scottsdale . <eos> the
never had an empty evening , yet never made sure we were happy . <eos> the
and you get more decor and nice wait while you do there it . <eos> the
the decor is very neat and clean , and the food is incredible ! <eos> the
omg cuisine should have a little more kick , but it was good . <eos> the
mike & b has become a class of of my local shopping shopping . <eos> the
today and staff have a very professional , informative , and friendly . <eos> the the
the place is neat , clean and the staff was very friendly . <eos> the the
my family has eaten here a few times for dinner as well . <eos> the the
it was served as a great course but filled prepared and enjoyed . <eos> the the
luckily also has a excellent options if try ... but a everything . <eos> the the
the pulled club was my my favorite but it was good . <eos> the the the
it 's worth worth the drive and i 'll definitely return ! <eos> the the the
the most important thing , of course , is very food . <eos> the the the
love the chile chile mein and the shrimp is is awesome ! <eos> the the the
the breakfast sandwiches are also delicious and not too expensive . <eos> the the the the
consistently great care , friendly staff could n't recommend enough . <eos> the the the the
good prices , and a very comfortable , classy atmosphere . <eos> the the the the
the hot and sour soup and both solid and delicious . <eos> the the the the
the entire staff was friendly , prompt , and efficient . <eos> the the the the
and jeff and the staff are friendly and super courteous . <eos> the the the the
the staff are personable sweet every time i go . <eos> the the the the the
for making the hot chocolate heat you my opinion . <eos> the the the the the
omg chicken ( $ _num_ ) - excellent sauce . <eos> the the the the the
food was really good , as was the service . <eos> the the the the the
best chinese i 've found in the scottsdale area ! <eos> the the the the the
we got lunch specials and left left very satisfied . <eos> the the the the the
their breakfast burritos are delicious and really filling . <eos> the the the the the the
will continue to stop by here to relax ! <eos> the the the the the the
great neighborhood chinese place ( check it out ! <eos> the the the the the the
everything tastes fresh and as it should be . <eos> the the the the the the
we love going there for the lunch buffet . <eos> the the the the the the
also , everyone was super friendly and nice ! <eos> the the the the the the
service is attentive , prompt , and pleasant . <eos> the the the the the the
beef 's seafood is is the best appetizer ! <eos> the the the the the the
i have yet to find one better . <eos> the the the the the the the
bartenders are always pretty chill and friendly . <eos> the the the the the the the
the front desk staff is very helpful . <eos> the the the the the the the
the instructors are so caring and compassionate . <eos> the the the the the the the
dave knew is often there as well . <eos> the the the the the the the
the food was fresh and very flavorful . <eos> the the the the the the the
probably my favorite restaurant around the area . <eos> the the the the the the the
probably the best coffee they make . <eos> the the the the the the the the
it is so rich and creamy . <eos> the the the the the the the the
the service is decent as well . <eos> the the the the the the the the
thank you for a great coffee . <eos> the the the the the the the the
i love mike & son 's . <eos> the the the the the the the the
i highly recommend both of these . <eos> the the the the the the the the
the atmosphere is extremely nice inside . <eos> the the the the the the the the
my water glass is always full . <eos> the the the the the the the the
we will definitely be back again ! <eos> the the the the the the the the
excellent dentist dentist and staff ! <eos> the the the the the the the the the
very caring and friendly staff . <eos> the the the the the the the the the
good service and nice people . <eos> the the the the the the the the the
it 's worth the trip . <eos> the the the the the the the the the
we enjoyed the friendly service . <eos> the the the the the the the the the
best chinese food in scottsdale . <eos> the the the the the the the the the
the gym is the service . <eos> the the the the the the the the the
the price was very reasonable . <eos> the the the the the the the the the
i strongly of this place . <eos> the the the the the the the the the
love their food and service ! <eos> the the the the the the the the the
very nice japanese chinese cuisine . <eos> the the the the the the the the the
recommend the shrimp fried rice . <eos> the the the the the the the the the
best chinese food in arizona ! <eos> the the the the the the the the the
the honey chicken is delicious ! <eos> the the the the the the the the the
this place does it right . <eos> the the the the the the the the the
the salmon was prepared perfectly . <eos> the the the the the the the the the
their website is good . <eos> the the the the the the the the the the
highly recommend for anyone ! <eos> the the the the the the the the the the
the best in town ! <eos> the the the the the the the the the the
always friendly and fast . <eos> the the the the the the the the the the
i strongly recommend it . <eos> the the the the the the the the the the
i love the food . <eos> the the the the the the the the the the
i love the ambience . <eos> the the the the the the the the the the
i love the prices . <eos> the the the the the the the the the the
everything else was fantastic . <eos> the the the the the the the the the the
best chinese hands down ! <eos> the the the the the the the the the the
love this place . <eos> the the the the the the the the the the the
the homemade taste good. <eos> the the the the the the the the the the the
good location . <eos> the the the the the the the the the the the the
nice atmosphere ! <eos> the the the the the the the the the the the the
_num_ % ! <eos> the the the the the the the the the the the the
friendly staff . <eos> the the the the the the the the the the the the
nice people . <eos> the the the the the the the the the the the the
highly recommended . <eos> the the the the the the the the the the the the
excellent food . <eos> the the the the the the the the the the the the
yum yum ! <eos> the the the the the the the the the the the the
wow ! <eos> the the the the the the the the the the the the the
heaven ! <eos> the the the the the the the the the the the the the
