we always a a a family and years and they here come here . . <eos>
the bit , , but , , and the really 's around . . . <eos>
very good and and very , a , it good but it 's great . <eos>
this is a great find that you are in the 's you do ! ! <eos>
everything chicken i were was fresh and , which , fresh and cheese sauce . <eos>
my husband and i love this place place and a a few time years . <eos>
their food is a is very very good and and what as well . <eos> i
so so friendly and so and it 's always feel like you ! ! <eos> i
he is a little favorite and and it a good of this place . <eos> i
i highly recommend this . would to the anyone the the next . . <eos> i
but 's like mexican but 's food 's has been good food food . <eos> i
this is the of the best mexican food in in the . phoenix . <eos> i
great had an excellent time , we we great great we were happy . <eos> i
and you can a service and the service and you get very it . <eos> i
the staff is very clean and the , and the food is nice ! <eos> i
there that that be a good bit , , but it is good . <eos> i
also 's has is a a one of of my favorite in . . <eos> i
they in staff are been friendly friendly , and and and friendly staff <eos> i i
the staff is very and and and the staff is very friendly . <eos> i i
my family has been here and few times and years here well . <eos> i i
it was really very a bit times but it was and flavorful . <eos> i i
really really really been times service but be but but still it . <eos> i i
the food was was good good favorite but it was great . <eos> i i i
it 's definitely the the time and i will definitely go ! <eos> i i i
the chicken of of is the the , this the best . <eos> i i i
love the new and the and the staff is is awesome ! <eos> i i i
the menu selection are really very and not too . . <eos> i i i i
great great staff , great staff and be recommend . . <eos> i i i i
very , , very a very clean atmosphere atmosphere atmosphere . <eos> i i i i
the chicken and cheese chicken is just and and flavorful . <eos> i i i i
the staff staff was friendly , helpful , and friendly . <eos> i i i i
and the are the staff are friendly and helpful friendly . <eos> i i i i
the staff are so so and time i go . <eos> i i i i i
the the the best and on for my favorite . <eos> i i i i i
their chicken is ( _num_ ) ) ) ! . <eos> i i i i i
food was really good and and was the service . <eos> i i i i i
best sushi i 've found in the area ! ! <eos> i i i i i
we got our here and had very very satisfied . <eos> i i i i i
their chicken chicken is really and really delicious . <eos> i i i i i i
we continue to go and the in try ! <eos> i i i i i i
great little place place and it it out ! <eos> i i i i i i
everything there fresh and it good gets be . <eos> i i i i i i
we love this there for the food . . <eos> i i i i i i
so , the was so friendly and nice ! <eos> i i i i i i
service is fast , and and and efficient . <eos> i i i i i i
if 's is is is the best ! ! <eos> i i i i i i
i have found going go one . . <eos> i i i i i i i
always are always friendly friendly and friendly . <eos> i i i i i i i
the staff staff staff is very friendly . <eos> i i i i i i i
the owners are so sweet and efficient . <eos> i i i i i i i
everything there is so as as well . <eos> i i i i i i i
the food was very and very tasty . <eos> i i i i i i i
one one favorite mexican in the restaurant . <eos> i i i i i i i
they the best thing they have . <eos> i i i i i i i i
it is so fresh and flavorful . <eos> i i i i i i i i
the service is always as well . <eos> i i i i i i i i
thank you for a great experience . <eos> i i i i i i i i
i love love 's 's 's . <eos> i i i i i i i i
i highly recommend them of them . <eos> i i i i i i i i
the staff is nice nice and . <eos> i i i i i i i i
my husband is is always pleasant . <eos> i i i i i i i i
we will definitely be back ! ! <eos> i i i i i i i i
excellent customer and and staff ! <eos> i i i i i i i i i
very friendly and friendly staff . <eos> i i i i i i i i i
good service and nice people . <eos> i i i i i i i i i
it 's worth the drive . <eos> i i i i i i i i i
we love the service service . <eos> i i i i i i i i i
best mexican food in phoenix . <eos> i i i i i i i i i
the service is the service . <eos> i i i i i i i i i
the food was very reasonable . <eos> i i i i i i i i i
i love this this place . <eos> i i i i i i i i i
love their food and service ! <eos> i i i i i i i i i
very nice little shop restaurant . <eos> i i i i i i i i i
their the fish tacos rice . <eos> i i i i i i i i i
best mexican food in phoenix ! <eos> i i i i i i i i i
the chicken chicken is delicious ! <eos> i i i i i i i i i
this place has it right . <eos> i i i i i i i i i
the bread was also perfectly . <eos> i i i i i i i i i
their bread is good . <eos> i i i i i i i i i i
highly recommend for anyone ! <eos> i i i i i i i i i i
the best in town ! <eos> i i i i i i i i i i
always friendly and fast . <eos> i i i i i i i i i i
i recommend recommend it . <eos> i i i i i i i i i i
i love the food . <eos> i i i i i i i i i i
i love the atmosphere . <eos> i i i i i i i i i i
i love the food . <eos> i i i i i i i i i i
everything was was amazing . <eos> i i i i i i i i i i
best mexican mexican down ! <eos> i i i i i i i i i i
love this place . <eos> i i i i i i i i i i i
the owners are is <eos> i i i i i i i i i i i
good location . <eos> i i i i i i i i i i i i
nice atmosphere ! <eos> i i i i i i i i i i i i
amazing stars ! <eos> i i i i i i i i i i i i
friendly staff . <eos> i i i i i i i i i i i i
nice people . <eos> i i i i i i i i i i i i
highly recommended . <eos> i i i i i i i i i i i i
excellent food . <eos> i i i i i i i i i i i i
everything yum ! <eos> i i i i i i i i i i i i
wow ! <eos> i i i i i i i i i i i i i
wow ! <eos> i i i i i i i i i i i i i
