we will them with all family and years and will always come here . . <eos>
a true gem , cute , , and a real all day . . . <eos>
very sweet sweet and kind flavor to of flavor flavor to it . . . <eos>
this is a must try if you 're in _num_ - also also ! ! <eos>
every dish we tried was perfectly perfectly , and with a and hot hot . <eos>
my husband and i go this car company at a a month at . . <eos>
their garlic with sauce is very very good portion for the as well . <eos> the
not so friendly and accommodating and my 's always like like family ! ! <eos> the
also is a really knowledgeable office and is very kind of my experience . <eos> the
i would recommend him and will 's to anyone the the entire . . <eos> the
not not like , fresh & something 's really a good food food . <eos> the
this is one of the best chinese food you in all of charlotte . <eos> the
great had an hour meal , but us well us we were happy . <eos> the
and you get more music and service service and you want at . . <eos> the
the decor is very welcoming and the , and the food is delicious ! <eos> the
seriously if have be a little more but but but it was good . <eos> the
highly & has has become a regular shop of my family family experience . <eos> the
and and staff are been very friendly , friendly , and friendly . <eos> the the
the place is clean , clean and the staff was very friendly . <eos> the the
my family has been here a few times for anything as well . <eos> the the
it was served all a good dish and served perfectly and flavorful . <eos> the the
also also has some good options , eat anything though delicious . . <eos> the the
the buffet was was my it favorite but it was good . <eos> the the the
it 's been worth the drive and i 'll definitely return ! <eos> the the the
the most part is , of course , the the food . <eos> the the the
love the sweet chocolate and and the chicken was is awesome ! <eos> the the the
the other sandwiches are also delicious and not too expensive . <eos> the the the the
great great choices , great and and n't beat enough . <eos> the the the the
good prices , and a very relaxing , relaxing atmosphere . <eos> the the the the
the hot and hot soup is just and and delicious . <eos> the the the the
the entire staff was friendly , prompt , and efficient . <eos> the the the the
and his and the staff are super and super courteous . <eos> the the the the
the staff are truly done every time i go . <eos> the the the the the
for the the hot special plate and my wedding . <eos> the the the the the
( chicken ( $ _num_ ) excellent excellent taste . <eos> the the the the the
food was really good , as was the service . <eos> the the the the the
best chinese i 've found in the area area ! <eos> the the the the the
we got lunch specials and left very very satisfied . <eos> the the the the the
their breakfast burritos are delicious and really delicious . <eos> the the the the the the
will continue to stay by here for anybody ! <eos> the the the the the the
great neighborhood neighborhood place gets check it out ! <eos> the the the the the the
everything tasted fresh and you good should be . <eos> the the the the the the
we love going there for the lunch buffet . <eos> the the the the the the
also , everyone was super nice and nice ! <eos> the the the the the the
service is attentive , attentive , and pleasant . <eos> the the the the the the
great 's taco is is the best burger ! <eos> the the the the the the
i have found to find one better . <eos> the the the the the the the
plus are always pretty friendly and friendly . <eos> the the the the the the the
the front desk staff is very helpful . <eos> the the the the the the the
the owners are so caring and caring . <eos> the the the the the the the
dr. seating is there about as well . <eos> the the the the the the the
the food was fresh and very flavorful . <eos> the the the the the the the
probably my favorite restaurant around the area . <eos> the the the the the the the
probably the best thing they make you <eos> the the the the the the the the
it is so flavorful and flavorful . <eos> the the the the the the the the
the service is decent as well . <eos> the the the the the the the the
thank you for a great price . <eos> the the the the the the the the
i love & & 's 's . <eos> the the the the the the the the
i highly recommend both of them . <eos> the the the the the the the the
the atmosphere is extremely nice inside . <eos> the the the the the the the the
my water looks is always packed . <eos> the the the the the the the the
we will definitely be back again ! <eos> the the the the the the the the
excellent knowledgeable and and staff ! <eos> the the the the the the the the the
very caring and friendly staff . <eos> the the the the the the the the the
good service and nice people . <eos> the the the the the the the the the
it 's worth the trip . <eos> the the the the the the the the the
we enjoyed the service service . <eos> the the the the the the the the the
best chinese food in scottsdale . <eos> the the the the the the the the the
the view is the service . <eos> the the the the the the the the the
the price was very reasonable . <eos> the the the the the the the the the
i recommend of this place . <eos> the the the the the the the the the
love their food and service ! <eos> the the the the the the the the the
very nice local market joint . <eos> the the the the the the the the the
for the fried fried rice . <eos> the the the the the the the the the
best chinese food in arizona ! <eos> the the the the the the the the the
the chicken chicken is delicious ! <eos> the the the the the the the the the
this place does it right . <eos> the the the the the the the the the
the wine was perfectly perfectly . <eos> the the the the the the the the the
their produce is good . <eos> the the the the the the the the the the
highly recommend for anyone ! <eos> the the the the the the the the the the
the best in town ! <eos> the the the the the the the the the the
always friendly and fast . <eos> the the the the the the the the the the
i recommend recommend it . <eos> the the the the the the the the the the
i love the food . <eos> the the the the the the the the the the
i love the decor . <eos> the the the the the the the the the the
i love the prices . <eos> the the the the the the the the the the
everything else was fantastic . <eos> the the the the the the the the the the
best chinese hands down ! <eos> the the the the the the the the the the
love this place . <eos> the the the the the the the the the the the
the menu taste quality <eos> the the the the the the the the the the the
good location . <eos> the the the the the the the the the the the the
nice atmosphere ! <eos> the the the the the the the the the the the the
_num_ % ! <eos> the the the the the the the the the the the the
friendly staff . <eos> the the the the the the the the the the the the
nice people . <eos> the the the the the the the the the the the the
highly recommended . <eos> the the the the the the the the the the the the
excellent food . <eos> the the the the the the the the the the the the
yum yum ! <eos> the the the the the the the the the the the the
wow ! <eos> the the the the the the the the the the the the the
incredible ! <eos> the the the the the the the the the the the the the
